title,company,location,source,job_type,seniority,is_remote,country,tech_stack
Senior Backend Rust Engineer,travoom,"Austin,TX,United States",web3.career,Rust/Solana Developer,Senior,False,USA,
Senior Blockchain Engineer,Ballistic,Remote,web3.career,Blockchain Developer,Senior,True,Remote,
Blockchain Architect Asia,ChainGPT,Remote,web3.career,Other,Mid,True,Remote,
Blockchain Payments Engineer,MLabs,"London,United Kingdom",web3.career,Blockchain Developer,Mid,False,UK,
Senior Systems Engineer Permance,Jito Labs,United States,web3.career,Other,Senior,False,USA,
Site Reliability Engineer,Wormholefoundation,Remote,web3.career,Other,Mid,True,Remote,
Campaign Manager,Wallet,Remote,web3.career,Other,Mid,True,Remote,
Content Marketer,OpenZeppelin,Remote,web3.career,Marketing/Growth,Mid,True,Remote,
SVP Marketing,Alpaca,Remote,web3.career,Marketing/Growth,Lead,True,Remote,
Crypto KOL Outreach Intern,BeInCrypto,Remote,web3.career,Other,Junior,True,Remote,
Influencer Marketing Lead Sports Predictions,Crypto.com,United States,web3.career,Marketing/Growth,Lead,False,USA,
Affiliate Marketing Lead USA Sports Predictions,Crypto.com,United States,web3.career,Marketing/Growth,Lead,False,USA,
SMM Content Manager,Getgems,Remote,web3.career,Marketing/Growth,Mid,True,Remote,
Partnerships Marketer,OpenZeppelin,Remote,web3.career,Other,Mid,True,Remote,
TikTok Instagram Content Creator,CoinStats,Remote,web3.career,Marketing/Growth,Mid,True,Remote,
VIP Relationship Manager,Crypto.com,"Los Angeles,CA,United States",web3.career,Other,Mid,False,USA,
Member of Product Marketing FIG,Anchorage Digital,United States,web3.career,Product Manager,Mid,False,USA,
Marketing Lead AIVM Blockchain Asia,ChainGPT,Remote,web3.career,Marketing/Growth,Lead,True,Remote,
Sr. Marketing Manager AEO,Kraken,"London,United Kingdom",web3.career,Marketing/Growth,Senior,False,UK,
Marketing Manager,Silo Finance,Remote,web3.career,Marketing/Growth,Mid,True,Remote,
Vice President Business Marketing PR Comms,Inmobi,Remote,web3.career,Marketing/Growth,Mid,True,Remote,
Product Design Intern Summer 2026,Nifty Gateway Studio,"New York,NY,United States",web3.career,Product Manager,Junior,False,USA,
